doy,OUT_SURF_TEMP,OUT_R_NET,OUT_EVAP,OUT_TRANSP_VEG,OUT_EVAP_CANOP,OUT_EVAP_BARE,OUT_PET,OUT_RUNOFF,OUT_BASEFLOW,OUT_SOIL_MOIST_L1,OUT_SOIL_MOIST_L2,OUT_SOIL_MOIST_L3
1,25.674636770414825,8.163297001539128,-0.6512562008845459,0.8002366493961964,0.0,0.1550598719053519,0.83392259298555,0.01290298152135341,5.079038642719805,84.03286537068003,519.4835056586553,80.15507333230653
2,28.289665540059406,129.61623987628843,2.8312303603895557,1.7967008288076742,0.20163549345932683,0.8328940436558065,4.624494500341565,0.0008303075163210791,2.11429973830645,81.5225793467272,519.4007726067665,78.0407735496026
3,28.483678811348526,127.17214834396738,2.8468366323968173,1.985745806506261,1.101669231458591e-11,0.8610908252111905,4.627757348203552,0.003328220132948082,1.53161481540909,79.0312219359464,519.3069285621045,76.50915869557085
4,28.64953968082232,135.03164725762352,3.128267019520403,1.9947070892744228,0.26316274478055574,0.8703971817890479,4.816297023888402,0.0033459977023561436,1.2482738598392182,76.47601741218993,519.2127704833712,75.26088482474854
5,28.412414429171772,119.96768216638758,2.814740218438825,1.9962954534092967,0.0029916725221731904,0.8154530944688287,4.59184727332736,0.0005089133755716034,1.0737950839652768,73.81719340467346,519.1153701679818,74.18708968749249
6,28.069737199702253,136.83050573805568,3.1828097652402234,2.2656935971825107,0.03507685183856836,0.8820393167229108,5.132064464108256,1.4022368845996541e-14,0.9517004735131008,70.77808683937295,519.0067439239297,73.23538926783824
7,27.845237591122622,133.79679011231835,3.1810032093284915,2.3059031840487254,5.690807745813537e-13,0.8751000240726572,5.257656670523437,2.7983576841788484e-05,0.8595014384763653,67.71348256019405,518.8961456094012,72.37588782385158
8,27.852683600696675,128.28869618665453,2.854551107358079,2.0784667569908764,0.00669027862178893,0.7693940711929619,4.856787054597398,4.2439571472592594e-05,0.7862648490153998,64.97047779330738,518.7941904089328,71.589623007465
9,28.123095049420726,125.90059133610735,2.7987837673433673,2.048350859532769,0.002770130481823194,0.7476627814121498,4.853421406457888,0.0007475423661536873,0.7261078383203403,62.30669695365616,518.6919221131327,70.86351518716322
10,27.8644822203873,110.52763594556976,2.5122231915759827,1.7798232797743447,0.07761737897833788,0.6547825327204357,4.30495413051089,0.006364798156259583,0.675544073259272,60.19818544921192,518.6054182116617,70.18797107350906
11,28.31807512884972,127.671282834388,2.723940965446583,1.9793790504053783,0.04331762134572885,0.7012442924203773,4.910146320959599,0.0003838107838119805,0.632201044436365,57.63469503603259,518.5085265567105,69.5557699800871
12,28.27505964240772,118.46109317719802,2.4122649604742157,1.7492310621875173,0.016634852292431054,0.6463990462581335,4.627188972712096,6.0529332438630134e-05,0.5944727354434786,55.333028554383006,518.418337521137,68.96129729550424
13,27.98159087050948,113.03376295529223,2.2736898122992892,1.6296122537388558,0.006363548733406872,0.63771401006846,4.649730954660932,0.0006604623417831514,0.5612231819189278,53.19389742439492,518.3297152764578,68.40007410433468
14,27.92188616887035,115.68039298857619,2.262560393652927,1.55947499414484,0.0569443764098372,0.6461410259552104,4.951936678331704,4.548463519524893e-05,0.5316281755352552,51.08463944471389,518.2351735091582,67.86844597033473
15,27.810610892788677,118.91938568388322,2.025472513264591,1.3904858684728247,0.00016297768600192545,0.6348236624805296,4.960666497815109,0.00014457635036745246,0.5050577807345145,49.16390496025683,518.1425443986385,67.36338814686341
16,28.36194719404182,139.85456465821406,2.146441970320556,1.4090245241474155,0.0260082209449974,0.7114092257626736,5.954050648932489,1.4237040744451155e-15,0.4810322039027259,47.1522627367536,518.0337532436021,66.88235606016462
17,28.78373907929832,127.06771544215397,1.622983059373953,1.0305681917388714,2.8152087422193737e-19,0.5924148653788999,5.251327550917931,5.864497790605672e-05,0.4591910713146192,45.630013122387915,517.9357247747298,66.42316488398268
18,28.984133935881406,129.86985078167328,1.4928835885839118,0.8812735653806558,0.006094338601843535,0.6055156850761013,5.481439507247617,0.00012945259023588833,0.43922782427600326,44.24542695883937,517.8379869397055,65.98393706720681
19,29.132720642175183,125.87827141439621,1.3110776056067537,0.7142618174680473,0.0035149330862899886,0.5933008544436897,5.490380492253058,0.0,0.4208911622562435,43.03335372873601,517.7424984618322,65.56304585160292
20,29.720667715307318,127.72858797623807,1.1725192311514425,0.5827109221760921,0.0,0.5898083059383625,5.710643587229769,2.729888197278562e-05,0.40398248891153826,41.963733086383314,517.6443605529648,65.1590633968379
21,29.973629098077215,128.4190970128548,1.053695692920378,0.44763109631563675,0.002772395608466696,0.6032921984746895,5.890823182110285,1.3733266010192983e-06,0.3883311498212999,41.00955192728064,517.5478763281633,64.77073224492254
22,30.632246439888974,140.51947533524276,1.0193934698431062,0.36481816292634955,2.3965559912010908e-20,0.6545753064329991,6.560332108664032,0.0,0.3737935296307871,40.09362558497145,517.4444095176339,64.39693870373753
23,30.199985448679403,118.0997090521008,0.7913542634907665,0.23258626971682472,1.4132894629603321e-24,0.5587679945958648,5.6608717358885725,0.005680969948684853,0.36024176147410264,39.614155470658204,517.3565198825777,64.03669701113263
24,29.724390520612133,140.02012688894933,0.9191310018367682,0.22779862519083874,0.05751896469082893,0.6338134115474173,6.598461752503243,2.0356264934658908e-14,0.3475695378438104,38.8524627173507,517.2566001089893,63.68912757429767
25,30.00401434375669,138.11087514890121,0.7932985278451288,0.18012311528287775,2.9556103386507703e-19,0.6131754138056426,6.6012399265963495,0.0,0.33569292149260266,38.15932785477948,517.156436979904,63.3534345882851
26,29.621642870124287,129.2105852336158,0.6511191169214873,0.13285474089693045,8.586446744961283e-36,0.5182643753769807,5.770446211432984,0.0,0.3245403458927438,37.59833811220173,517.066307579911,63.028894245224514
27,30.009143921086185,135.48264440754116,0.6123212249101689,0.1155048881114101,0.0,0.49681633801296315,5.691038053307757,1.4289611554851917e-05,0.31404949956938416,37.0740089117814,516.9788940395551,62.71484467593882
28,30.391914083920337,134.570639719099,0.5589204506239681,0.10084468510440943,0.001492969368811555,0.4565827957089345,5.364133022775586,0.0,0.3041635317261676,36.59876556951194,516.8967100651206,62.41068111223396
29,30.329104660341404,121.70420071902691,0.4911987667400368,0.0889801926097276,1.1848652038140898e-20,0.40221857453783644,4.80942138782817,0.0008462434348417256,0.29483073265378995,36.24172768603502,516.8199096099376,62.115850432607154
30,31.251172931935695,138.84925757798572,0.5713342602083089,0.0957666837904488,0.07427562352856391,0.40129195340084356,5.070996993073415,0.0009655687589299187,0.2860047165800229,35.87280581301491,516.7318015386594,61.829845774093734
31,30.734648337566878,133.8133617290181,0.5685262551729584,0.08453591359245853,0.06937211522349088,0.41461822635470036,4.978889459998283,0.013789649253943253,0.27764522477741443,36.05186017140979,516.6540706045676,61.55220049446328
32,28.247872576617553,94.5167065093448,0.980238859594062,0.05141272883336078,0.49718481400043385,0.43164132081764217,3.714415372951452,0.011820302153103663,0.2697169888321291,36.24789970193133,516.6068889950745,61.28248348492104
